study,series,n_files,modality,sop_class,image_type,is_original_primary,is_localizer,orientation,series_description,study_description,body_part,manufacturer,model,slice_thickness,rows,cols,kernel,contrast_agent,scanning_sequence,sequence_variant,mr_acq_type,tr,te,window_center,window_width
S11,S11-04,92,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,sagittal,Portal 3.00 Br40 A1 sag,06_Hemorrhage_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,880,512,Br40d\1,UNDEFINED,,,,,,30,360
S11,S11-05,68,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,coronal,Portal 3.00 Br40 A1 cor,06_Hemorrhage_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,743,512,Br40d\1,UNDEFINED,,,,,,30,360
S11,S11-06,1,CT,Secondary Capture,ORIGINAL\PRIMARY\OTHER\CT_SOM PROT,True,False,unknown,Patient Protocol,06_Hemorrhage_CT(Adult),,Siemens Healthineers,SOMATOM X.cite,,512,512,,,,,,,,200,50
S11,S11-07,1,CT,CT Image,DERIVED\SECONDARY\LOCALIZER\CT_SOM5 TOP,False,True,coronal,Exported CT View&GO,06_Hemorrhage_CT(Adult),,Siemens Healthineers,SOMATOM X.cite,0,512,512,,,,,,,,50,350
S12,S12-01,134,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Pre 3.00 Br40 A2 ax,06_Abdomen_Delay_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,512,621,Br40d\2,,,,,,,50,410
S12,S12-02,132,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Post 3.00 Br40 A2 ax,06_Abdomen_Delay_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,512,621,Br40d\2,UNDEFINED,,,,,,30,360
S12,S12-03,68,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,coronal,Post 3.00 Br40 A2 cor,06_Abdomen_Delay_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,667,512,Br40d\2,UNDEFINED,,,,,,30,360
S12,S12-04,94,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,sagittal,Post 3.00 Br40 A2 sag,06_Abdomen_Delay_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,809,512,Br40d\2,UNDEFINED,,,,,,30,360
S12,S12-05,130,CT,CT Image,ORIGINAL\PRIMARY\AXIAL\CT_SOM5 MPR,True,False,axial,Delay 3.00 Br40 A2 ax,06_Abdomen_Delay_CT(Adult),ABDOMEN,Siemens Healthineers,SOMATOM X.cite,3,512,621,Br40d\2,UNDEFINED,,,,,,40,390
S12,S12-06,1,CT,Secondary Capture,ORIGINAL\PRIMARY\OTHER\CT_SOM PROT,True,False,unknown,Patient Protocol,06_Abdomen_Delay_CT(Adult),,Siemens Healthineers,SOMATOM X.cite,,512,512,,,,,,,,200,50
S12,S12-07,2,CT,CT Image,DERIVED\SECONDARY\LOCALIZER\CT_SOM5 TOP,False,True,coronal,Exported CT View&GO,06_Abdomen_Delay_CT(Adult),,Siemens Healthineers,SOMATOM X.cite,0,512,512,,,,,,,,50,350
